Plateforme,Asset,Quote,Datetime,Bid,BidAmount,Ask,AskAmount,OpenInterest
Kraken,btc_usd,10738.9,1601368567.472403,10738.9,0.59961623,10740.5,2.0784545,10699.30756
Kraken,btc_eur,9206.7,1601368567.47325,9206.6,3.04745348,9206.7,9.19490431,9184.5249
Kraken,eth_usd,355.47,1601368567.473689,355.47,40.60918036,355.48,0.697,353.78745
Kraken,eth_eur,304.72,1601368567.474099,304.71,7.51027253,304.72,9.45683105,303.68216
Kraken,btc_eur,9206.6,1601368568.24189,9206.6,3.04408033,9206.7,9.19490431,9184.525
Kraken,btc_eur,9206.7,1601368568.943554,9206.6,3.04408033,9206.7,8.19490431,9184.55456
Kraken,btc_eur,9206.7,1601368571.704879,9206.6,3.04408033,9206.7,8.16283031,9184.55551
Kraken,btc_eur,9206.7,1601368571.734753,9206.6,3.04408033,9206.7,7.16283031,9184.58499
Kraken,btc_usd,10739.5,1601368573.617592,10739.5,4.79796366,10739.6,0.19,10699.36679
Kraken,btc_eur,9206.7,1601368574.587474,9206.6,2.64408033,9206.7,6.16283031,9184.61439
Kraken,btc_eur,9206.7,1601368576.92532,9206.6,2.64408033,9206.7,6.08196264,9184.61676
Kraken,btc_eur,9206.6,1601368577.943166,9206.6,3.33622634,9206.7,6.08196264,9184.61695
Kraken,btc_eur,9206.7,1601368579.193863,9206.6,3.33622634,9206.7,5.87196264,9184.62311
Kraken,eth_eur,304.72,1601368580.365106,304.71,3.206,304.72,23.55037977,303.68218
Kraken,btc_eur,9206.7,1601368584.281075,9206.6,3.33623933,9206.7,5.86980596,9184.62317
Kraken,btc_eur,9206.7,1601368585.00757,9206.6,3.33623933,9206.7,5.81555141,9184.62477
Kraken,btc_eur,9206.7,1601368587.071377,9206.6,3.33623933,9206.7,5.74288409,9184.6269
Kraken,btc_eur,9206.7,1601368588.152077,9206.6,3.33623933,9206.7,5.73528409,9184.62712
Kraken,btc_eur,9206.6,1601368589.751068,9206.6,3.33183933,9206.7,5.73528409,9184.62725
Kraken,eth_eur,304.66,1601368591.740319,304.66,5.98402843,304.73,58.63184895,303.68218
Kraken,btc_eur,9206.6,1601368591.749024,9206.6,3.32427761,9206.7,5.73528409,9184.62747
Kraken,btc_eur,9206.7,1601368592.978899,9206.6,3.32427761,9206.7,4.73528409,9184.65676
Kraken,eth_eur,304.71,1601368595.738688,304.65,30.0,304.71,21.06727578,303.68219
Kraken,btc_eur,9206.7,1601368596.024134,9206.6,3.32427761,9206.7,3.73528409,9184.68597
Kraken,btc_eur,9206.7,1601368598.874851,9206.6,2.62571758,9206.7,2.73528409,9184.7151
Kraken,eth_eur,304.69,1601368599.311274,304.64,21.1006381,304.69,20.37217874,303.68257
Kraken,btc_eur,9206.7,1601368601.296556,9206.6,2.62571758,9206.7,1.73528409,9184.74415
Kraken,btc_eur,9206.7,1601368603.932814,9206.6,2.62571758,9206.7,1.64635364,9184.74673
Kraken,eth_usd,355.48,1601368604.979598,355.47,35.05818036,355.48,19.75284975,353.78779
Kraken,btc_eur,9206.6,1601368606.782622,9206.6,2.61986129,9206.7,1.64635364,9184.7469
Kraken,btc_eur,9206.6,1601368607.257117,9206.6,0.32850129,9206.7,1.64635364,9184.81287
Kraken,btc_eur,9207.8,1601368607.764363,9206.6,0.32850129,9207.8,0.25211817,9184.91767
Kraken,btc_eur,9207.2,1601368613.002689,9207.1,2.69855722,9207.2,9.0,9184.94685
Kraken,eth_usd,355.49,1601368614.375365,355.49,46.40488825,355.5,24.61907016,353.7878
Kraken,btc_eur,9207.1,1601368614.567026,9207.1,2.35241605,9207.2,9.0,9184.94693
Kraken,btc_eur,9207.2,1601368615.508814,9207.1,2.35241605,9207.2,8.83436551,9184.95175
Kraken,btc_usd,10739.5,1601368619.315823,10739.5,4.8550143,10739.6,0.19,10699.36806
Kraken,btc_usd,10739.5,1601368620.427099,10739.5,4.8533358,10739.6,0.19,10699.36816
Kraken,btc_eur,9207.2,1601368621.966059,9207.1,2.35241605,9207.2,8.78622123,9184.95316
Kraken,btc_eur,9207.2,1601368625.4293,9207.1,0.355,9207.2,8.02742417,9184.98224
Kraken,eth_usd,355.5,1601368625.525495,355.49,61.40488825,355.51,21.0979794,353.78839
Kraken,btc_eur,9207.2,1601368628.34335,9207.1,2.355,9207.2,6.78622123,9185.01125
Kraken,btc_eur,9207.1,1601368629.744823,9207.1,2.3533044,9207.2,6.78622123,9185.0113
Kraken,btc_eur,9207.2,1601368631.373742,9207.1,0.325,9207.2,6.75872923,9185.0121
Kraken,btc_eur,9207.2,1601368633.600282,9207.1,2.325,9207.2,5.75872923,9185.04103
Kraken,btc_eur,9207.2,1601368636.808797,9207.1,2.325,9207.2,4.83069918,9185.06781
Kraken,eth_eur,304.74,1601368637.481431,304.71,4.4,304.74,321.07943755,303.68258
Kraken,btc_eur,9207.2,1601368651.116916,9207.1,2.325,9207.2,4.7809555,9185.06925
Kraken,btc_eur,9207.2,1601368652.799098,9207.1,2.325,9207.2,3.7809555,9185.09803
Kraken,eth_eur,304.74,1601368653.996493,304.73,2.10049533,304.74,299.73557433,303.68261
Kraken,btc_eur,9207.2,1601368655.309853,9207.1,2.325,9207.2,3.71053472,9185.10005
Kraken,btc_eur,9207.2,1601368655.676681,9207.1,2.325,9207.2,3.70025572,9185.10035
Kraken,eth_usd,355.54,1601368657.48357,355.53,61.44403431,355.54,19.210369,353.78871
Kraken,btc_eur,9207.2,1601368657.735974,9207.1,2.325,9207.2,3.35025572,9185.12905
Kraken,btc_eur,9207.2,1601368658.811432,9207.1,2.325,9207.2,3.30217533,9185.13043
Kraken,btc_eur,9207.2,1601368658.865826,9207.1,2.325,9207.2,3.28322131,9185.13097
Kraken,btc_eur,9207.2,1601368659.3331,9207.1,2.325,9207.2,2.6099641,9185.13164
Kraken,btc_eur,9207.2,1601368659.764084,9207.1,2.325,9207.2,2.58478392,9185.13236
Kraken,btc_eur,9207.2,1601368660.402511,9207.1,2.325,9207.2,2.55897595,9185.1331
Kraken,btc_eur,9207.2,1601368660.767721,9207.1,0.325,9207.2,1.55897595,9185.16172
Kraken,btc_eur,9207.2,1601368663.720694,9207.1,2.34639532,9207.2,1.08732093,9185.18618
Kraken,btc_usd,10740.3,1601368664.922358,10740.2,3.91375586,10740.3,0.66841043,10699.36869
Kraken,btc_eur,9207.2,1601368670.335865,9207.1,2.34639532,9207.2,0.69738116,9185.18632
Kraken,btc_eur,9207.2,1601368671.569785,9207.1,2.34639532,9207.8,1.0,9185.20619
Kraken,btc_eur,9207.7,1601368674.308435,9207.6,2.02139532,9207.7,0.12705836,9185.21704
Kraken,btc_usd,10740.2,1601368683.575565,10740.2,3.89771551,10740.3,1.05280899,10699.36972
Kraken,btc_usd,10740.3,1601368685.695314,10740.2,3.89771551,10740.3,0.68124899,10699.39367
Kraken,btc_eur,9207.7,1601368685.748013,9207.6,0.02139532,9207.7,1.06067821,9185.24608
Kraken,btc_eur,9207.7,1601368687.820551,9207.6,0.02139532,9207.7,0.23024059,9185.24622
Kraken,btc_eur,9207.7,1601368688.543683,9207.6,0.32639532,9207.9,0.69857725,9185.27314
Kraken,btc_eur,9207.9,1601368689.383247,9207.7,0.07113956,9207.9,0.64883627,9185.27459
Kraken,btc_eur,9207.9,1601368690.780422,9207.8,0.27639532,9207.9,1.61761327,9185.2755
Kraken,btc_eur,9207.9,1601368691.371244,9207.8,0.27639532,9207.9,0.68981869,9185.30255
Kraken,btc_eur,9207.8,1601368691.777332,9207.8,0.15739532,9207.9,0.68981869,9185.306
Kraken,btc_eur,9207.9,1601368691.784086,9207.8,0.15739532,9207.9,0.66690869,9185.30667
Kraken,btc_eur,9208.1,1601368696.943751,9207.1,2.4,9208.1,0.57883633,9185.33383
Kraken,btc_eur,9208.0,1601368700.293656,9207.1,2.4,9208.0,0.21108426,9185.33598
Kraken,btc_eur,9207.1,1601368701.753677,9207.1,1.74745,9207.9,0.21,9185.35424
Kraken,btc_eur,9207.2,1601368704.777873,9207.1,0.4,9207.2,9.36402468,9185.3543
Kraken,eth_eur,304.52,1601368704.795656,304.52,9.72630195,304.58,304.31485109,303.68408
Kraken,btc_eur,9207.2,1601368706.211646,9207.1,0.4,9207.2,9.35893637,9185.35444
Kraken,btc_eur,9207.2,1601368708.22847,9207.1,0.4,9207.2,9.35644637,9185.35451
Kraken,btc_eur,9206.5,1601368712.690866,9206.5,0.49823611,9207.0,0.03620294,9185.35456
Kraken,btc_eur,9207.1,1601368713.320393,9206.5,0.49823611,9207.1,1.87320294,9185.35911
Kraken,btc_eur,9206.8,1601368713.591161,9206.5,0.49823611,9206.8,1.08634874,9185.38427
Kraken,btc_eur,9207.1,1601368717.892844,9206.9,1.0,9207.1,0.52523294,9185.38457
Kraken,btc_usd,10740.2,1601368722.504543,10740.2,1.41254512,10740.3,1.68124899,10699.50921
